file_name,mine_id,mine_name,financial_year,report_id,data_type,rag_ready,sections
GV-DIPKA-OCP-201920-ANNUAL.pdf,GV003,Dipka OCP,201920-ANNUAL,GV-DIPKA-OCP-201920-ANNUAL,SYNTHETIC_DEMO,YES,Executive Summary; Mine Profile; Production; Target vs Achievement; Offtake; Overburden; Equipment; Operational Constraints; Geological Observations; Safety; Environment; Operational Event; Management Follow-up; Provenance
GV-DIPKA-OCP-202021-ANNUAL.pdf,GV003,Dipka OCP,202021-ANNUAL,GV-DIPKA-OCP-202021-ANNUAL,SYNTHETIC_DEMO,YES,Executive Summary; Mine Profile; Production; Target vs Achievement; Offtake; Overburden; Equipment; Operational Constraints; Geological Observations; Safety; Environment; Operational Event; Management Follow-up; Provenance
GV-DIPKA-OCP-202122-ANNUAL.pdf,GV003,Dipka OCP,202122-ANNUAL,GV-DIPKA-OCP-202122-ANNUAL,SYNTHETIC_DEMO,YES,Executive Summary; Mine Profile; Production; Target vs Achievement; Offtake; Overburden; Equipment; Operational Constraints; Geological Observations; Safety; Environment; Operational Event; Management Follow-up; Provenance
GV-DIPKA-OCP-202223-ANNUAL.pdf,GV003,Dipka OCP,202223-ANNUAL,GV-DIPKA-OCP-202223-ANNUAL,SYNTHETIC_DEMO,YES,Executive Summary; Mine Profile; Production; Target vs Achievement; Offtake; Overburden; Equipment; Operational Constraints; Geological Observations; Safety; Environment; Operational Event; Management Follow-up; Provenance
GV-DIPKA-OCP-202324-ANNUAL.pdf,GV003,Dipka OCP,202324-ANNUAL,GV-DIPKA-OCP-202324-ANNUAL,SYNTHETIC_DEMO,YES,Executive Summary; Mine Profile; Production; Target vs Achievement; Offtake; Overburden; Equipment; Operational Constraints; Geological Observations; Safety; Environment; Operational Event; Management Follow-up; Provenance
GV-DIPKA-OCP-202425-ANNUAL.pdf,GV003,Dipka OCP,202425-ANNUAL,GV-DIPKA-OCP-202425-ANNUAL,SYNTHETIC_DEMO,YES,Executive Summary; Mine Profile; Production; Target vs Achievement; Offtake; Overburden; Equipment; Operational Constraints; Geological Observations; Safety; Environment; Operational Event; Management Follow-up; Provenance
GV-DUDHICHUA-OCP-201920-ANNUAL.pdf,GV005,Dudhichua OCP,201920-ANNUAL,GV-DUDHICHUA-OCP-201920-ANNUAL,SYNTHETIC_DEMO,YES,Executive Summary; Mine Profile; Production; Target vs Achievement; Offtake; Overburden; Equipment; Operational Constraints; Geological Observations; Safety; Environment; Operational Event; Management Follow-up; Provenance
GV-DUDHICHUA-OCP-202021-ANNUAL.pdf,GV005,Dudhichua OCP,202021-ANNUAL,GV-DUDHICHUA-OCP-202021-ANNUAL,SYNTHETIC_DEMO,YES,Executive Summary; Mine Profile; Production; Target vs Achievement; Offtake; Overburden; Equipment; Operational Constraints; Geological Observations; Safety; Environment; Operational Event; Management Follow-up; Provenance
GV-DUDHICHUA-OCP-202122-ANNUAL.pdf,GV005,Dudhichua OCP,202122-ANNUAL,GV-DUDHICHUA-OCP-202122-ANNUAL,SYNTHETIC_DEMO,YES,Executive Summary; Mine Profile; Production; Target vs Achievement; Offtake; Overburden; Equipment; Operational Constraints; Geological Observations; Safety; Environment; Operational Event; Management Follow-up; Provenance
GV-DUDHICHUA-OCP-202223-ANNUAL.pdf,GV005,Dudhichua OCP,202223-ANNUAL,GV-DUDHICHUA-OCP-202223-ANNUAL,SYNTHETIC_DEMO,YES,Executive Summary; Mine Profile; Production; Target vs Achievement; Offtake; Overburden; Equipment; Operational Constraints; Geological Observations; Safety; Environment; Operational Event; Management Follow-up; Provenance
GV-DUDHICHUA-OCP-202324-ANNUAL.pdf,GV005,Dudhichua OCP,202324-ANNUAL,GV-DUDHICHUA-OCP-202324-ANNUAL,SYNTHETIC_DEMO,YES,Executive Summary; Mine Profile; Production; Target vs Achievement; Offtake; Overburden; Equipment; Operational Constraints; Geological Observations; Safety; Environment; Operational Event; Management Follow-up; Provenance
GV-DUDHICHUA-OCP-202425-ANNUAL.pdf,GV005,Dudhichua OCP,202425-ANNUAL,GV-DUDHICHUA-OCP-202425-ANNUAL,SYNTHETIC_DEMO,YES,Executive Summary; Mine Profile; Production; Target vs Achievement; Offtake; Overburden; Equipment; Operational Constraints; Geological Observations; Safety; Environment; Operational Event; Management Follow-up; Provenance
GV-GEVRA-OCP-201920-ANNUAL.pdf,GV001,Gevra OCP,201920-ANNUAL,GV-GEVRA-OCP-201920-ANNUAL,SYNTHETIC_DEMO,YES,Executive Summary; Mine Profile; Production; Target vs Achievement; Offtake; Overburden; Equipment; Operational Constraints; Geological Observations; Safety; Environment; Operational Event; Management Follow-up; Provenance
GV-GEVRA-OCP-202021-ANNUAL.pdf,GV001,Gevra OCP,202021-ANNUAL,GV-GEVRA-OCP-202021-ANNUAL,SYNTHETIC_DEMO,YES,Executive Summary; Mine Profile; Production; Target vs Achievement; Offtake; Overburden; Equipment; Operational Constraints; Geological Observations; Safety; Environment; Operational Event; Management Follow-up; Provenance
GV-GEVRA-OCP-202122-ANNUAL.pdf,GV001,Gevra OCP,202122-ANNUAL,GV-GEVRA-OCP-202122-ANNUAL,SYNTHETIC_DEMO,YES,Executive Summary; Mine Profile; Production; Target vs Achievement; Offtake; Overburden; Equipment; Operational Constraints; Geological Observations; Safety; Environment; Operational Event; Management Follow-up; Provenance
GV-GEVRA-OCP-202223-ANNUAL.pdf,GV001,Gevra OCP,202223-ANNUAL,GV-GEVRA-OCP-202223-ANNUAL,SYNTHETIC_DEMO,YES,Executive Summary; Mine Profile; Production; Target vs Achievement; Offtake; Overburden; Equipment; Operational Constraints; Geological Observations; Safety; Environment; Operational Event; Management Follow-up; Provenance
GV-GEVRA-OCP-202324-ANNUAL.pdf,GV001,Gevra OCP,202324-ANNUAL,GV-GEVRA-OCP-202324-ANNUAL,SYNTHETIC_DEMO,YES,Executive Summary; Mine Profile; Production; Target vs Achievement; Offtake; Overburden; Equipment; Operational Constraints; Geological Observations; Safety; Environment; Operational Event; Management Follow-up; Provenance
